N,P,K,temperature,humidity,ph,rainfall,OM,label
51.6,25.0,82.2,24.08,79.78,6.73,94.56,2.13,Sweet Potato
59.7,56.2,50.8,31.63,82.36,6.34,171.64,3.08,Cacao
89.3,38.2,38.9,30.43,69.85,5.38,142.22,1.78,Corn
97.0,44.6,41.0,28.37,88.85,4.73,300.0,3.35,Rice
109.6,43.7,75.3,28.21,81.88,6.41,268.78,2.33,Durian
130.3,62.7,140.9,32.84,87.94,5.6,221.13,3.82,Banana
161.1,44.3,105.8,27.19,84.27,6.19,159.05,2.21,Banana
46.8,38.5,98.7,25.34,66.93,5.94,130.0,2.01,Sweet Potato
20.5,27.9,141.0,24.91,66.87,5.62,127.61,1.87,Sweet Potato
87.3,40.9,38.0,25.55,70.27,5.45,196.17,2.52,Rice
81.2,39.6,35.1,26.99,72.29,5.75,111.98,2.19,Corn
56.4,22.1,105.6,26.44,74.89,5.49,132.68,0.82,Cassava
51.9,57.1,84.9,27.4,80.81,7.1,238.43,2.9,Durian
80.2,59.5,90.2,30.85,82.13,6.05,266.99,3.28,Durian
45.0,10.4,66.6,30.8,80.02,5.08,130.14,1.64,Cassava
103.0,42.5,54.8,27.94,61.18,7.21,105.77,1.53,Eggplant
102.0,95.3,54.6,20.27,59.78,6.06,71.43,2.59,Tomato
24.4,47.6,81.6,27.83,59.88,5.88,139.69,2.38,Mango
32.9,16.8,89.1,29.66,76.81,5.12,123.02,1.04,Cassava
46.5,49.8,99.5,27.76,77.82,5.7,163.75,3.05,Cacao
67.5,64.7,46.2,26.16,92.73,4.95,259.49,3.08,Rice
43.1,27.1,93.2,26.9,81.43,6.59,214.55,2.07,Coconut
92.7,72.0,73.2,24.02,69.42,5.68,52.5,3.06,Tomato
28.9,70.0,100.9,29.11,70.42,6.35,91.06,1.98,Sweet Potato
106.4,65.2,100.4,25.64,53.81,5.75,75.36,2.92,Tomato
108.9,58.1,148.5,29.02,82.85,6.22,146.87,4.15,Banana
64.5,37.7,27.4,30.08,83.54,5.78,300.0,2.12,Rice
143.1,60.4,194.1,27.03,76.34,6.71,196.11,3.8,Banana
34.7,66.5,141.0,30.77,73.55,6.06,93.67,1.46,Sweet Potato
95.9,45.8,107.5,25.03,81.59,5.61,222.34,4.27,Banana
117.7,65.7,45.9,29.55,67.73,6.51,100.74,2.38,Eggplant
83.2,59.7,32.1,20.16,62.15,5.3,118.92,2.14,Corn
58.1,27.5,84.5,29.2,80.82,6.82,117.89,2.19,Coconut
46.7,58.3,60.4,27.12,86.91,5.95,295.65,3.03,Durian
124.6,35.2,48.7,23.68,79.28,6.04,225.84,3.26,Rice
52.7,28.1,52.5,31.06,68.13,6.59,139.65,1.4,Cassava
105.2,53.4,136.5,29.84,83.87,6.22,202.23,3.87,Banana
105.3,25.2,43.4,27.44,69.56,6.84,89.98,1.9,Corn
93.9,50.6,146.9,27.65,66.46,6.04,159.18,3.26,Papaya
82.1,43.5,50.6,24.67,77.3,5.32,227.74,3.08,Rice
55.8,35.9,61.3,28.07,51.11,5.93,77.42,2.46,Mango
15.4,29.4,65.6,28.23,69.46,5.31,118.84,1.62,Cassava
66.8,38.7,74.4,23.79,65.51,6.72,100.94,1.99,Mango
90.9,66.5,61.7,24.72,64.84,7.2,115.72,2.93,Tomato
124.3,49.6,38.9,24.31,83.24,6.28,200.89,3.68,Rice
43.0,39.9,127.4,27.79,82.16,5.1,166.81,1.76,Coconut
66.1,65.9,67.0,26.57,74.87,6.69,112.12,2.63,Papaya
97.7,39.1,25.7,31.24,88.84,5.48,202.55,2.88,Rice
87.8,51.2,83.4,27.16,70.64,6.57,80.46,1.87,Tomato
63.7,55.0,24.3,20.26,54.41,5.68,63.35,1.72,Corn
75.4,73.8,77.8,26.37,66.91,6.11,104.72,1.73,Tomato
99.7,40.7,31.1,27.03,81.31,4.79,237.31,2.45,Rice
52.0,44.6,33.4,30.45,72.55,6.64,50.81,2.02,Corn
33.8,35.0,61.6,23.5,68.3,7.04,165.52,2.08,Mango
84.5,56.0,198.8,28.05,92.72,6.48,242.06,4.63,Banana
73.9,53.0,93.5,24.17,82.15,6.39,244.42,2.67,Durian
74.7,54.8,77.8,23.78,79.27,6.82,101.07,2.45,Tomato
109.6,47.4,110.7,28.81,67.13,5.35,145.52,2.87,Papaya
35.2,43.1,137.9,27.81,77.89,5.76,214.09,2.87,Coconut
83.6,33.8,124.1,25.57,83.91,6.54,238.02,4.54,Banana
48.9,25.0,103.2,25.92,83.51,6.33,269.3,2.85,Durian
28.6,15.4,41.9,25.08,76.68,4.94,140.03,1.99,Cassava
120.4,42.5,18.3,26.04,77.64,6.25,54.81,1.9,Corn
39.1,53.3,60.0,25.82,60.0,6.15,135.67,1.0,Sweet Potato
109.5,35.2,43.7,27.28,86.25,5.59,227.68,2.96,Rice
85.6,42.7,31.3,28.37,77.69,4.64,223.21,2.92,Rice
30.3,41.9,54.5,29.34,85.0,6.06,127.76,1.67,Cassava
109.1,42.1,52.2,21.31,60.96,5.87,101.76,2.09,Corn
92.3,69.5,74.3,29.83,57.24,6.56,136.16,1.64,Papaya
92.1,57.4,199.3,28.22,79.82,6.81,130.0,4.5,Banana
40.1,36.6,126.2,26.93,76.66,6.42,176.18,3.11,Coconut
45.3,27.2,57.9,25.3,61.92,5.73,126.22,2.24,Mango
96.0,51.5,37.3,23.43,72.09,6.52,67.76,1.76,Corn
73.4,27.3,61.5,26.95,73.85,5.48,192.98,2.1,Cacao
116.2,48.4,91.4,27.61,69.69,5.86,107.84,2.98,Papaya
85.8,42.0,85.4,24.86,68.91,6.72,96.33,2.49,Papaya
68.4,50.9,35.4,24.89,63.37,6.14,82.3,2.54,Corn
58.2,35.1,106.1,26.57,76.94,6.07,106.47,2.15,Sweet Potato
21.9,47.1,75.0,24.72,60.43,7.27,84.51,2.24,Mango
33.5,62.8,155.1,27.52,77.28,6.15,111.39,2.12,Sweet Potato
70.6,26.3,43.5,25.56,55.12,7.34,139.36,1.94,Mango
15.0,28.5,143.7,22.45,74.46,5.58,160.91,2.31,Coconut
70.9,51.4,55.5,30.44,66.38,6.01,124.66,2.29,Eggplant
76.1,46.7,23.1,27.6,59.85,5.92,122.61,2.25,Corn
55.4,53.0,129.1,30.2,76.19,6.4,114.81,2.0,Sweet Potato
80.2,56.8,29.7,28.2,53.2,6.08,115.65,1.32,Corn
128.6,49.9,179.2,30.03,78.21,5.73,195.97,5.31,Banana
120.1,65.9,115.6,30.84,91.76,6.78,301.24,2.96,Durian
36.8,46.5,103.9,25.39,70.22,6.47,123.77,2.14,Sweet Potato
63.1,61.3,79.8,31.24,83.55,6.79,211.16,3.62,Durian
47.4,15.9,75.7,28.17,65.6,5.46,105.62,1.26,Cassava
50.3,52.6,185.9,25.72,84.6,6.8,123.8,2.74,Coconut
67.1,56.5,82.1,28.6,82.46,5.91,202.37,3.48,Durian
93.0,20.0,57.4,30.69,82.57,5.08,132.0,2.78,Cacao
90.0,71.1,97.7,30.39,80.13,6.47,216.6,3.3,Durian
120.9,30.9,77.5,31.31,76.88,6.06,157.33,2.38,Papaya
71.2,48.5,29.3,24.86,75.51,6.09,245.64,2.06,Rice
78.9,24.9,46.3,22.82,78.23,6.01,158.28,3.08,Cacao
15.0,30.1,148.9,23.96,74.92,5.74,139.12,1.63,Coconut
45.7,40.9,136.2,27.63,75.65,7.13,210.54,2.23,Coconut
67.7,26.1,62.9,26.4,53.88,6.4,128.48,1.83,Mango
123.8,65.9,73.4,27.03,70.35,6.66,94.56,3.32,Eggplant
40.6,11.0,69.0,29.81,62.45,5.57,154.01,1.86,Cassava
124.4,25.0,120.4,25.0,80.41,6.28,294.23,2.36,Durian
87.7,51.4,71.4,24.79,81.75,6.75,100.64,3.61,Eggplant
146.8,49.1,131.2,27.97,81.32,6.82,174.28,4.1,Banana
90.2,28.1,37.1,27.67,76.63,6.22,160.59,2.9,Rice
67.1,51.6,55.7,27.17,74.58,5.79,218.78,2.96,Cacao
70.3,31.9,43.1,26.1,76.75,4.59,215.54,2.69,Rice
39.1,10.8,95.1,28.92,64.62,5.07,84.67,2.29,Cassava
41.4,69.5,48.8,28.52,74.48,5.88,228.54,3.24,Rice
37.9,33.8,94.6,29.03,82.62,6.55,122.22,3.19,Cacao
78.0,57.3,85.4,22.57,78.97,6.14,201.25,4.07,Cacao
41.6,44.7,126.8,24.63,73.09,7.31,222.28,2.92,Coconut
110.1,60.0,112.9,28.89,77.16,6.6,134.45,2.3,Papaya
32.0,23.3,70.0,26.2,64.54,4.88,142.37,1.5,Cassava
50.3,31.0,62.0,31.6,66.89,5.98,149.21,1.98,Cassava
77.0,67.8,45.9,27.61,78.96,6.15,86.81,2.57,Tomato
22.5,46.7,121.2,28.77,83.67,7.07,194.14,2.8,Coconut
97.0,63.5,91.6,25.91,67.75,6.92,137.89,2.05,Eggplant
52.0,47.1,85.1,25.03,62.97,6.02,170.0,1.75,Sweet Potato
124.3,52.5,235.5,29.1,80.39,5.73,177.01,3.06,Banana
92.5,33.2,81.7,27.31,68.73,6.31,191.0,2.9,Papaya
40.0,25.4,67.4,28.18,81.21,6.86,295.92,3.84,Durian
53.6,21.9,71.8,24.53,57.95,7.52,111.89,1.43,Mango
77.3,35.0,81.1,24.97,66.75,6.2,117.86,2.44,Sweet Potato
94.8,47.4,67.2,21.53,64.13,7.0,83.01,2.37,Tomato
94.6,61.3,114.1,28.9,73.35,5.14,110.29,3.21,Papaya
96.7,53.6,42.3,24.05,64.19,6.51,71.16,2.56,Corn
51.2,35.3,27.8,20.24,60.11,7.26,103.5,2.21,Corn
45.2,44.5,112.4,29.4,73.96,6.39,127.24,2.31,Coconut
98.0,56.9,67.6,28.31,64.04,6.05,101.57,2.74,Eggplant
102.9,43.8,127.4,31.06,79.03,5.97,203.86,3.26,Durian
88.8,38.3,172.0,25.99,86.03,5.89,210.08,4.8,Banana
107.6,40.4,36.5,29.59,80.0,5.91,106.5,1.61,Corn
56.4,20.0,50.6,26.21,87.12,5.64,212.66,3.29,Rice
83.5,56.6,59.9,29.49,78.89,6.16,97.72,3.0,Papaya
64.6,35.2,70.8,28.3,62.21,5.68,104.94,2.25,Mango
97.8,64.4,30.3,28.5,59.88,5.11,59.2,2.47,Corn
46.8,26.2,135.7,27.62,83.6,7.31,176.14,2.66,Coconut
123.2,54.0,70.8,29.19,63.86,5.71,124.51,2.66,Eggplant
66.1,44.9,89.6,28.78,71.4,5.6,86.39,1.3,Sweet Potato
68.1,65.3,29.0,24.93,70.34,6.38,101.74,1.34,Corn
89.0,46.9,54.5,26.65,59.04,5.31,101.23,1.3,Corn
106.8,43.5,30.1,24.95,60.18,7.08,88.63,1.97,Corn
39.9,64.4,50.2,23.61,76.57,5.41,144.87,3.83,Cacao
33.8,38.1,101.9,23.58,75.25,6.48,217.58,3.28,Coconut
97.5,61.1,68.4,26.21,77.35,6.66,50.63,3.74,Tomato
31.5,48.4,88.2,24.6,78.88,6.29,100.0,3.0,Coconut
44.3,47.3,143.0,27.75,80.87,5.37,160.72,2.61,Coconut
134.3,48.8,74.3,30.01,72.76,6.03,114.24,2.83,Papaya
33.9,23.5,81.9,24.19,73.91,6.07,213.63,2.66,Coconut
56.8,38.1,44.0,28.25,91.97,4.72,265.11,2.72,Rice
51.1,40.1,105.9,28.46,80.18,6.24,156.52,1.65,Coconut
20.2,49.9,53.0,29.88,56.11,6.54,63.0,2.52,Mango
42.8,43.1,86.8,24.21,84.97,5.45,215.37,3.19,Cacao
120.3,50.7,46.4,24.63,61.45,5.09,99.76,2.85,Corn
90.8,37.6,119.8,26.37,61.62,6.4,158.11,3.75,Papaya
108.6,71.8,58.3,28.07,66.81,5.73,84.82,2.0,Eggplant
26.1,29.1,193.6,26.07,80.12,5.8,204.43,3.28,Coconut
46.9,43.7,57.8,28.61,56.09,6.78,91.93,2.24,Mango
84.2,47.0,37.0,27.14,68.56,7.06,113.13,2.0,Corn
112.1,63.9,46.3,29.05,65.08,5.8,114.49,2.6,Eggplant
34.3,39.6,60.0,23.59,71.97,5.82,198.08,2.13,Coconut
43.5,31.5,77.2,25.02,67.22,5.97,122.41,0.97,Cassava
107.9,30.3,165.1,27.82,80.17,6.71,211.45,2.54,Banana
142.9,44.4,28.3,25.11,57.85,5.75,100.65,1.82,Corn
112.8,68.4,62.1,30.91,65.61,6.17,167.13,3.52,Papaya
84.6,36.5,54.2,26.59,79.6,5.34,150.71,2.28,Cacao
41.6,17.4,95.4,29.77,76.78,5.99,190.16,2.66,Coconut
169.5,49.9,214.0,26.51,79.97,5.98,167.87,4.07,Banana
90.6,60.1,181.3,27.22,73.82,5.5,182.46,2.73,Banana
103.4,58.6,67.7,26.58,76.43,6.55,231.01,2.63,Durian
40.0,51.8,50.2,29.09,81.18,6.34,232.83,2.9,Durian
92.8,42.6,34.2,25.54,70.44,6.86,175.14,2.14,Rice
36.0,30.0,71.6,26.93,66.89,6.18,119.93,1.34,Cassava
70.6,46.2,36.5,26.64,68.14,6.56,71.11,2.51,Corn
70.9,40.2,61.2,27.81,90.2,5.86,137.72,3.6,Cacao
40.0,38.9,146.0,27.13,81.19,5.98,111.2,3.0,Coconut
111.3,59.1,71.4,23.14,60.35,6.75,116.61,2.8,Tomato
126.3,39.7,63.5,28.86,66.64,6.91,119.96,2.59,Eggplant
65.1,48.2,95.0,27.19,83.3,5.44,107.68,1.42,Sweet Potato
24.8,28.0,63.5,26.78,70.23,6.08,116.23,1.44,Cassava
40.4,24.1,117.1,26.53,78.01,5.27,182.21,2.49,Coconut
81.0,56.4,51.6,26.9,75.94,6.67,227.96,2.78,Rice
41.0,46.5,153.5,26.13,64.33,6.11,157.85,1.45,Sweet Potato
117.0,30.8,41.3,29.45,71.39,6.28,170.0,2.42,Eggplant
105.9,80.0,59.7,30.56,74.88,6.5,122.85,3.82,Eggplant
88.5,55.5,90.5,34.48,75.97,5.71,152.6,3.68,Papaya
91.9,71.7,69.1,27.04,74.58,6.21,207.82,4.57,Durian
113.4,64.5,138.4,27.21,72.13,6.63,80.0,2.42,Papaya
72.6,37.5,55.3,27.24,85.63,5.07,293.45,2.78,Rice
47.0,56.6,116.9,27.07,71.38,6.44,118.42,1.92,Sweet Potato
94.6,62.4,76.2,24.21,67.07,6.59,107.68,3.05,Tomato
108.8,51.6,56.0,26.28,67.86,5.67,113.45,1.92,Tomato
85.8,56.3,154.7,27.26,90.19,6.81,222.47,2.0,Banana
42.0,64.3,79.2,30.45,94.87,7.17,185.04,3.43,Durian
38.7,26.5,104.1,30.5,65.62,5.93,155.91,1.65,Cassava
91.4,81.0,95.0,28.41,64.4,6.37,79.58,1.5,Tomato
36.7,29.9,79.8,25.13,90.49,6.86,158.74,3.5,Cacao
52.6,58.4,41.1,26.4,66.65,5.16,52.5,1.79,Corn
71.5,27.7,94.1,31.52,87.85,6.24,182.56,2.55,Banana
75.7,39.0,73.9,24.23,66.0,6.6,165.53,2.0,Cacao
81.1,42.9,40.9,26.47,79.76,5.02,226.03,3.55,Rice
79.1,61.2,36.9,28.02,78.9,6.2,211.73,2.89,Rice
36.0,17.0,129.4,27.36,58.0,5.95,173.61,2.26,Cassava
89.5,20.0,44.7,24.79,82.12,7.05,201.99,3.14,Rice
49.0,50.0,28.2,25.59,87.52,5.96,203.57,2.46,Rice
41.5,45.0,116.9,26.72,81.86,6.44,263.77,2.83,Durian
92.4,75.8,76.3,23.69,73.42,5.93,117.88,2.58,Tomato
37.6,50.9,91.1,25.01,76.31,6.03,115.89,2.32,Sweet Potato
81.7,49.6,40.6,26.24,76.6,6.31,188.58,2.91,Cacao
47.2,43.4,125.1,27.05,79.37,6.72,229.83,3.42,Coconut
100.7,56.9,54.9,27.18,64.68,5.58,60.0,2.38,Eggplant
70.7,45.3,101.0,30.48,82.74,6.12,145.44,2.7,Cacao
38.6,26.9,87.7,29.08,80.77,6.05,119.11,1.38,Cassava
95.8,52.2,50.9,23.92,57.83,5.12,103.5,2.57,Tomato
96.4,88.4,77.7,24.53,65.97,6.14,92.86,2.37,Tomato
51.0,17.6,102.6,27.7,71.96,6.18,124.76,1.97,Coconut
93.2,79.2,61.1,28.49,69.6,6.19,105.69,1.88,Tomato
115.0,33.5,98.1,31.5,87.1,6.01,300.0,3.77,Banana
32.8,11.4,50.6,31.24,77.4,6.08,136.38,1.34,Cassava
64.0,25.9,132.3,27.77,76.88,6.98,180.28,2.61,Coconut
32.3,10.0,59.1,30.17,63.44,5.61,180.0,1.08,Cassava
45.3,68.9,95.5,29.6,91.86,6.75,246.93,2.05,Durian
22.6,19.8,128.3,22.02,73.38,6.48,193.58,2.66,Coconut
59.4,46.1,38.1,29.87,88.82,5.47,188.71,3.67,Rice
53.8,23.5,40.0,31.06,66.41,5.93,146.17,1.09,Cassava
60.2,34.8,63.3,30.13,81.72,6.43,126.0,3.01,Cacao
34.9,57.9,114.5,23.96,66.03,5.87,151.64,1.63,Sweet Potato
125.6,60.0,39.4,26.01,73.23,6.26,103.44,1.68,Corn
59.6,15.0,56.5,27.69,60.11,6.47,118.36,1.87,Mango
64.9,34.9,126.8,26.16,72.14,6.05,93.24,2.17,Sweet Potato
90.5,42.7,218.9,28.62,82.43,5.79,286.78,5.14,Banana
65.4,39.3,81.4,24.84,82.75,5.07,136.63,3.14,Cacao
58.6,39.7,87.9,26.87,66.77,5.87,158.3,1.28,Sweet Potato
119.8,53.7,43.0,23.49,59.81,6.23,101.05,1.25,Corn
18.2,20.5,87.4,27.2,78.32,5.38,124.89,1.8,Cassava
40.0,35.1,32.8,23.55,80.2,5.25,283.2,3.43,Rice
38.3,45.5,154.5,28.38,66.87,6.72,152.92,2.17,Coconut
62.5,26.1,169.7,26.4,73.72,6.03,197.2,3.65,Banana
50.6,28.9,87.7,27.74,54.13,6.94,129.96,1.99,Mango
52.9,37.3,59.9,24.07,89.84,5.75,170.91,3.31,Cacao
97.9,69.3,100.9,27.84,77.53,6.02,138.8,2.4,Papaya
20.8,10.3,71.3,28.5,69.73,6.82,109.0,0.66,Cassava
112.8,55.6,35.1,25.25,70.12,5.49,123.69,2.38,Eggplant
30.0,30.6,81.8,32.48,78.15,5.6,138.2,1.8,Cassava
164.1,44.1,160.8,31.2,87.81,5.66,216.13,4.93,Banana
99.0,55.3,54.7,28.28,63.61,6.06,124.93,2.46,Eggplant
42.9,15.4,127.1,28.77,75.23,5.7,149.37,3.0,Coconut
85.8,46.8,86.6,30.7,73.93,7.37,179.68,2.83,Papaya
131.9,35.5,40.4,25.74,60.14,6.6,60.13,2.93,Corn
60.7,55.5,23.2,26.25,60.18,5.76,110.27,2.19,Corn
101.7,39.7,33.7,26.94,58.5,6.44,131.71,2.02,Corn
45.4,53.3,86.8,28.45,75.01,6.16,173.89,3.52,Durian
89.1,56.7,70.7,25.27,77.8,6.4,258.94,3.2,Durian
65.2,25.9,139.5,28.62,60.97,5.93,88.34,2.11,Sweet Potato
91.2,65.5,66.4,21.61,53.26,5.96,80.38,2.72,Tomato
77.4,38.2,32.8,27.97,74.78,5.99,214.39,2.7,Rice
39.6,55.9,137.5,28.18,73.61,6.25,61.78,1.43,Sweet Potato
40.5,25.0,111.7,30.09,86.59,5.94,288.74,3.23,Durian
88.4,43.1,46.5,27.98,80.76,5.86,229.15,3.62,Rice
118.4,49.4,65.4,28.2,78.08,6.38,106.44,3.1,Papaya
115.6,70.0,25.1,25.18,71.9,6.59,68.98,1.79,Corn
48.6,25.1,41.2,25.55,73.26,6.91,202.64,3.15,Rice
44.0,25.0,90.6,28.18,69.18,6.06,111.59,2.16,Sweet Potato
73.2,21.0,55.6,29.27,87.7,4.59,199.34,2.5,Rice
75.2,56.0,41.0,29.34,78.41,6.23,249.65,2.14,Rice
113.9,82.7,67.4,28.33,65.98,5.96,112.84,1.95,Tomato
61.2,42.3,41.1,28.4,61.84,6.91,89.66,2.64,Mango
74.2,42.7,99.5,29.04,76.58,5.81,307.11,2.5,Durian
116.1,25.0,33.2,27.26,55.94,5.46,106.17,1.04,Corn
79.9,57.5,49.2,26.34,66.18,6.94,150.0,2.14,Corn
82.6,43.0,79.7,26.91,63.9,5.68,138.65,3.1,Eggplant
68.2,48.0,86.8,24.86,91.46,7.28,299.45,2.17,Durian
43.7,38.2,48.8,25.45,67.21,6.42,117.55,1.58,Mango
52.7,34.9,68.1,27.87,73.34,6.8,119.53,1.13,Sweet Potato
121.7,38.8,159.2,27.76,73.84,6.98,211.99,2.66,Banana
76.7,46.3,80.0,29.13,76.41,5.23,166.63,3.08,Banana
122.3,79.2,54.9,26.32,64.96,6.57,55.0,2.01,Tomato
106.7,48.7,91.4,32.22,76.44,5.89,166.82,2.52,Papaya
39.7,17.0,72.2,29.03,63.79,5.34,136.49,1.4,Cassava
31.6,52.0,161.8,25.93,87.83,5.66,172.25,1.74,Coconut
54.2,39.4,62.7,26.18,55.41,6.52,87.73,2.98,Mango
21.8,36.8,68.5,27.17,64.59,5.52,117.98,2.16,Mango
96.7,39.0,163.7,27.52,94.53,5.96,131.72,5.04,Banana
38.9,35.2,96.4,29.55,77.55,5.93,132.45,2.23,Coconut
36.7,34.2,83.1,28.83,56.93,6.02,125.42,1.54,Cassava
31.6,21.8,104.4,26.44,75.26,6.06,126.58,2.65,Coconut
54.1,28.4,88.9,30.59,87.42,6.0,167.5,3.26,Cacao
41.4,30.9,37.8,28.75,58.72,6.05,161.5,1.63,Mango
92.7,20.0,53.5,30.68,78.88,6.06,231.67,3.0,Rice
62.5,32.0,62.5,27.35,57.99,5.93,135.5,2.14,Mango
61.2,10.0,62.5,26.63,83.58,5.36,140.57,2.05,Cassava
10.4,13.7,99.1,29.4,75.94,6.72,113.43,1.32,Cassava
104.0,61.4,77.0,27.2,68.1,6.18,101.03,2.34,Eggplant
59.0,46.6,41.6,26.21,88.18,6.67,226.47,2.94,Rice
69.2,40.8,75.4,30.85,60.36,5.57,143.21,2.24,Mango
20.5,53.9,81.2,26.83,73.27,6.27,107.79,2.28,Sweet Potato
97.8,52.5,49.0,25.89,69.02,5.37,70.52,2.91,Tomato
96.4,54.8,71.5,24.17,72.39,6.41,238.56,2.01,Durian
63.3,39.7,49.3,28.13,68.68,6.65,60.68,1.65,Mango
68.7,52.4,37.9,25.85,77.41,6.6,258.48,1.7,Rice
129.3,54.3,203.3,26.84,73.85,6.26,210.87,2.91,Banana
81.6,58.3,61.6,28.99,75.31,7.04,96.18,1.87,Eggplant
133.3,53.4,96.2,27.98,62.76,6.03,203.73,3.92,Papaya
49.7,41.4,121.9,27.2,72.36,5.57,97.73,1.22,Sweet Potato
47.8,32.3,122.1,28.81,75.15,6.92,200.65,2.67,Coconut
86.2,70.6,50.7,29.95,68.93,6.0,154.95,2.47,Eggplant
32.9,40.9,157.2,26.84,74.73,6.01,217.56,3.8,Coconut
62.0,23.8,66.1,25.65,79.93,4.87,254.01,3.07,Rice
105.4,62.3,42.7,27.55,81.4,4.5,291.21,3.14,Rice
30.3,40.7,118.8,24.77,78.95,5.74,181.59,2.71,Coconut
161.6,30.5,184.1,28.35,84.45,5.73,204.39,2.42,Banana
99.2,44.1,109.4,24.98,76.23,5.94,194.5,3.15,Banana
42.7,37.9,47.2,28.57,74.23,5.57,205.87,4.24,Cacao
116.1,58.7,37.5,29.98,73.26,5.89,169.21,2.8,Eggplant
121.1,48.3,43.9,27.34,78.64,5.63,246.53,2.66,Rice
93.9,100.0,40.8,25.51,57.11,5.25,93.99,2.56,Tomato
15.0,29.5,94.3,28.47,88.92,6.06,232.23,2.21,Coconut
65.7,45.9,34.8,28.2,59.37,6.91,77.56,2.38,Mango
115.2,59.8,79.3,23.76,72.35,6.88,86.89,2.86,Tomato
11.3,23.8,94.5,24.67,63.42,6.03,138.08,1.39,Cassava
51.2,65.2,30.7,25.09,66.39,6.2,98.27,2.28,Corn
73.7,30.4,131.6,29.16,74.77,6.84,236.24,2.72,Durian
58.7,48.3,15.4,21.41,50.0,6.24,88.45,2.27,Corn
96.0,50.0,34.9,27.28,63.97,5.59,141.24,1.89,Eggplant
15.0,36.0,116.2,28.27,88.91,5.0,194.98,2.75,Coconut
69.9,50.5,129.3,25.67,64.98,6.57,90.85,1.18,Sweet Potato
32.8,12.6,87.6,29.19,66.76,6.17,130.05,1.26,Cassava
53.0,46.9,92.8,24.43,69.99,5.43,189.66,3.14,Cacao
38.1,29.2,89.9,26.75,66.99,7.13,131.5,1.86,Mango
75.9,52.2,26.1,25.9,84.73,5.51,205.2,2.61,Rice
72.0,51.2,84.5,29.65,86.77,6.28,282.38,2.07,Durian
78.6,38.9,116.2,27.45,79.65,6.35,223.66,3.31,Durian
21.4,30.7,54.3,29.14,58.58,6.54,83.23,2.79,Mango
91.4,58.2,71.8,27.01,62.01,7.0,118.87,2.35,Eggplant
46.0,49.1,60.0,24.91,75.37,5.8,110.0,3.16,Coconut
100.3,29.2,85.8,29.8,84.02,6.6,266.59,2.6,Durian
50.2,47.9,89.9,29.24,81.49,5.56,188.02,3.16,Cacao
42.2,43.9,60.6,28.94,54.02,6.93,118.64,1.8,Mango
87.4,41.2,53.1,28.36,80.95,6.63,283.42,3.68,Rice
41.1,17.1,40.0,28.68,61.04,6.39,114.95,0.5,Cassava
100.0,37.2,81.1,25.49,80.0,6.71,237.57,3.72,Cacao
109.5,73.6,67.7,32.35,79.02,6.31,158.23,3.26,Papaya
75.8,47.3,34.2,21.31,57.83,6.12,125.76,2.07,Corn
50.6,26.0,166.7,29.31,76.19,5.84,152.62,2.65,Coconut
100.6,45.3,141.2,27.7,80.8,6.81,247.99,2.37,Banana
82.0,43.3,73.0,28.31,66.13,6.26,155.87,2.25,Papaya
27.2,47.9,120.2,24.6,68.49,6.24,101.05,1.77,Sweet Potato
75.4,42.6,50.5,26.62,82.74,5.77,245.74,3.64,Rice
16.1,44.5,110.6,27.79,72.75,5.63,198.12,2.94,Coconut
52.1,50.8,89.1,24.81,79.1,6.51,216.81,2.83,Cacao
106.3,66.0,83.2,25.94,75.07,6.54,97.69,2.54,Tomato
146.4,26.1,122.1,29.32,80.48,5.78,285.0,3.37,Banana
101.0,67.8,158.1,27.49,84.74,5.63,230.79,4.26,Banana
58.1,58.8,85.7,28.0,79.89,5.49,128.51,1.03,Sweet Potato
71.8,41.8,40.4,31.71,66.92,6.33,121.98,2.05,Corn
72.6,59.5,81.1,30.3,61.86,6.39,109.77,2.39,Eggplant
117.0,53.3,94.9,27.48,69.63,5.99,160.82,2.76,Papaya
76.1,46.8,87.1,30.48,84.4,6.4,259.37,2.84,Durian
61.2,49.5,67.1,31.14,88.92,5.92,158.84,4.19,Cacao
85.3,50.4,25.9,25.55,67.62,6.15,111.62,1.61,Corn
110.5,71.3,75.8,24.6,68.62,5.73,106.05,2.27,Tomato
53.3,59.7,125.0,29.94,85.22,6.47,212.4,3.29,Durian
26.1,37.2,145.0,28.97,75.21,5.95,230.27,2.81,Coconut
90.8,37.1,81.2,29.95,84.05,5.78,128.26,3.35,Cacao
92.5,51.0,77.8,28.42,63.22,6.02,79.73,2.76,Eggplant
15.5,22.9,152.6,27.59,74.08,6.44,191.24,2.58,Coconut
117.9,37.4,55.2,24.02,56.92,5.4,108.87,1.87,Eggplant
47.5,39.2,39.2,26.79,80.77,6.16,262.58,2.07,Rice
92.1,42.0,97.2,30.26,85.0,7.13,144.41,3.1,Papaya
37.8,26.9,63.3,27.78,71.66,6.41,133.99,1.14,Cassava
110.4,63.7,58.2,24.46,64.41,6.18,50.0,1.67,Tomato
78.7,45.1,49.6,30.53,57.08,5.77,126.01,2.93,Eggplant
98.5,50.7,71.1,25.96,66.22,5.38,124.21,3.08,Eggplant
112.1,64.1,44.8,22.49,62.54,6.3,60.95,2.34,Tomato
46.9,58.1,69.3,27.71,63.11,6.26,168.41,2.52,Mango
73.2,51.7,54.8,26.63,79.3,6.5,136.4,4.56,Cacao
